source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
Sachse et al 2004,McFarlin,KEI,68.67,21.52,428,-114,2,2018,29,-230,5
Sachse et al 2004,McFarlin,HZM,50.12,6.88,436,-56,2,2018,29,-198,1
Sachse et al 2004,McFarlin,NAI,68.85,21.18,463,-115,2,2018,29,-221,2
Sachse et al 2004,McFarlin,MEZ,42.61,11.77,466,-41,1,2018,29,-167,3
Sachse et al 2004,McFarlin,LGM,40.93,15.6,674,-48,1,2018,29,-180,3
Sachse et al 2004,McFarlin,LPM,40.93,15.61,685,-48,1,2018,29,-169,2
"Schwab et al., 2015",Liu,Cameroon,3.77,,,-8,,,29,-152,
"Schwab et al., 2015",Liu,Cameroon,4.1,,,-13,,,29,-166,
"Schwab et al., 2015",Liu,Cameroon,4.65,,,-15,,,29,-148,
"Schwab et al., 2015",Liu,Cameroon,5.03,,,-16,,,29,-152,
"Schwab et al., 2015",Liu,Cameroon,6.62,,,-18,,,29,-163,
"Schwab et al., 2015",Liu,Cameroon,7.13,,,-16,,,29,-170,
"Schwab et al., 2015",Liu,Cameroon,7.25,,,-28,,,29,-181,
"Schwab et al., 2015",Liu,Cameroon,8.39,,,-16,,,29,-147,
"Schwab et al., 2015",Liu,Cameroon,10.51,,,-26,,,29,-184,
"Schwab et al., 2015",Liu,Cameroon,11.05,,,-39,,,29,-188,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-203,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-198,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-195,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-211,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-203,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-212,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-208,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-210,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-195,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-213,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-213,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-213,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-203,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-205,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-203,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-186,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-207,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-199,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-216,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-224,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-208,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-218,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-222,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-217,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-225,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-220,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-221,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-222,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-227,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-244,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-240,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-219,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560,-60,,,29,-229,
"Struck et al., 2020",Ladd,P13,44.51,105.35,1314,-64.16998851,,,29,-154.1,
"Struck et al., 2020",Ladd,UGC3,47.76,102.81,1333,-81.3180184,,,29,-184.7,
"Struck et al., 2020",Ladd,UGC12,47.75,102.77,1337,-81.21882759,,,29,-184.7,
"Struck et al., 2020",Ladd,P9,45.36,105.69,1342,-78.46364119,,,29,-204.8,
"Struck et al., 2020",Ladd,UGC7,47.75,102.8,1343,-81.31726361,,,29,-186.1,
"Struck et al., 2020",Ladd,P15,44.11,105.05,1358,-57.67930632,,,29,-172.7,
"Struck et al., 2020",Ladd,UGC15,47.74,102.74,1366,-81.01477017,,,29,-203.1,
"Struck et al., 2020",Ladd,P6,46.86,106.64,1376,-77.13973617,,,29,-183.2,
"Struck et al., 2020",Ladd,P7,45.71,106.12,1406,-82.33930859,,,29,-178.8,
"Struck et al., 2020",Ladd,P23,43.59,103.04,1443,-56.40793184,,,29,-142.6,
"Struck et al., 2020",Ladd,P19,43.19,104.87,1453,-52.95603384,,,29,-152.2,
"Struck et al., 2020",Ladd,P5,47.42,106.77,1611,-78.64194287,,,29,-182.3,
"Struck et al., 2020",Ladd,TLC2,48.79,97.3,1792,-101.6527473,,,29,-189,
"Struck et al., 2020",Ladd,TLC1,48.79,97.3,1796,-101.6527473,,,29,-193.7,
"Struck et al., 2020",Ladd,TLC3,48.79,97.3,1797,-101.6527473,,,29,-190.9,
"Struck et al., 2020",Ladd,TLC10,48.79,97.33,1797,-101.7950614,,,29,-195.8,
"Struck et al., 2020",Ladd,TLC12,48.78,97.33,1799,-101.9754658,,,29,-190.7,
"Struck et al., 2020",Ladd,TLC5,48.79,97.34,1802,-101.8424994,,,29,-190.7,
"Struck et al., 2020",Ladd,TLC8,48.8,97.38,1808,-102.0363412,,,29,-189,
"Struck et al., 2020",Ladd,TLC9,48.79,97.33,1811,-101.7950614,,,29,-184.2,
"Struck et al., 2020",Ladd,TLC11,48.79,97.34,1814,-101.8424994,,,29,-193.5,
"Struck et al., 2020",Ladd,TLC6,48.8,97.35,1841,-101.9163979,,,29,-175.1,
"Struck et al., 2020",Ladd,TLC7,48.8,97.37,1852,-102.0005823,,,29,-183,
"Struck et al., 2020",Ladd,TLC13,48.77,97.3,1859,-102.0389575,,,29,-184.9,
"Struck et al., 2020",Ladd,TLC15,48.76,97.25,1895,-102.0265012,,,29,-200.4,
"Struck et al., 2020",Ladd,TLC4,48.76,97.3,1942,-102.2320626,,,29,-166.5,
"Struck et al., 2020",Ladd,T11,48.42,98.9,1948,-101.974667,,,29,-203.6,
"Struck et al., 2020",Ladd,TLC14,48.75,97.22,1952,-102.0181629,,,29,-189.9,
"Struck et al., 2020",Ladd,TSC5,48.15,99.75,2054,-100.319291,,,29,-203.2,
"Struck et al., 2020",Ladd,TSC3,48.15,99.72,2065,-99.76146772,,,29,-198.3,
"Struck et al., 2020",Ladd,T10,48.35,98.92,2133,-104.731544,,,29,-200.9,
"Struck et al., 2020",Ladd,T1,48.24,99.02,2235,-105.7638403,,,29,-199.1,
"Struck et al., 2020",Ladd,T2,48.25,99.01,2284,-106.4289757,,,29,-214.9,
"Struck et al., 2020",Ladd,T7b,48.31,98.92,2343,-106.9573758,,,29,-199.8,
"Struck et al., 2020",Ladd,T7a,48.31,98.92,2343,-106.9573758,,,29,-195.8,
"Struck et al., 2020",Ladd,T3,48.26,98.99,2382,-107.1106057,,,29,-203.3,
"Struck et al., 2020",Ladd,T6,48.3,98.94,2441,-107.7793474,,,29,-205,
"Struck et al., 2020",Ladd,T4,48.28,98.98,2475,-108.1100583,,,29,-206.7,
"Struck et al., 2020",Ladd,T5,48.29,98.95,2528,-108.4263134,,,29,-201.8,
"van der Veen et al., 2020",Ladd,ARU11106SoA,26.81,87.22,225,-48.72088159,,,29,-148.45,
"van der Veen et al., 2020",Ladd,ARU11004So,27.35,87.19,315,-58.92584394,,,29,-115.67,
"van der Veen et al., 2020",Ladd,ARU11011So,27.39,87.13,412,-61.10278364,,,29,-128.18,
"van der Veen et al., 2020",Ladd,ARU11014So,27.43,87.12,435,-63.79419903,,,29,-144.44,
"van der Veen et al., 2020",Ladd,ARU11020So,27.47,87.15,448,-68.62481158,,,29,-147.24,
"van der Veen et al., 2020",Ladd,S127 sp1,31.39,76.88,475,-50.62259697,,,29,-147.38,
"van der Veen et al., 2020",Ladd,S127 sp2,31.39,76.88,475,-50.62259697,,,29,-146.51,
"van der Veen et al., 2020",Ladd,ARU11060So,27.49,87.17,566,-71.581459,,,29,-146.32,
"van der Veen et al., 2020",Ladd,AK8,30.24,78.86,635,-57.88725563,,,29,-167.05,
"van der Veen et al., 2020",Ladd,ARU11034SoA,27.52,87.2,708,-71.91111014,,,29,-159.31,
"van der Veen et al., 2020",Ladd,S5,31.36,77.38,729,-57.67687769,,,29,-140.84,
"van der Veen et al., 2020",Ladd,AK25,30.31,79.32,927,-58.826943,,,29,-127.13,
"van der Veen et al., 2020",Ladd,S9,31.4,77.64,937,-61.7583051,,,29,-157.64,
"van der Veen et al., 2020",Ladd,ARU12037So,27.67,87.36,1080,-81.72490813,,,29,-173.53,
"van der Veen et al., 2020",Ladd,S14,31.45,77.55,1170,-62.24257167,,,29,-179.02,
"van der Veen et al., 2020",Ladd,AK20,30.14,79.37,1175,-61.93234753,,,29,-166.86,
"van der Veen et al., 2020",Ladd,AK18,30.1,79.44,1176,-67.24840598,,,29,-157.2,
"van der Veen et al., 2020",Ladd,S22,31.52,77.7,1228,-70.0844068,,,29,-163.75,
"van der Veen et al., 2020",Ladd,S26,31.51,77.76,1238,-69.49462609,,,29,-140.58,
"van der Veen et al., 2020",Ladd,S41,31.55,77.91,1521,-73.82017871,,,29,-157.15,
"van der Veen et al., 2020",Ladd,AK22,30.29,79.5,1635,-73.53100443,,,29,-150.78,
"van der Veen et al., 2020",Ladd,ARU12136So,27.62,87.24,2006,-85.7823513,,,29,-173.26,
"van der Veen et al., 2020",Ladd,ARU12068So,27.75,87.41,2091,-92.41431198,,,29,-178.62,
"van der Veen et al., 2020",Ladd,ARU12099So,27.84,87.4,2196,-99.88505688,,,29,-176.45,
"van der Veen et al., 2020",Ladd,J9,28.31,84.3,2500,-78.24801277,,,29,-179.45,
"van der Veen et al., 2020",Ladd,ARU12090So,27.81,87.42,2578,-98.46847637,,,29,-182.55,
"van der Veen et al., 2020",Ladd,AK29,30.62,79.82,2628,-93.43976761,,,29,-173.15,
"van der Veen et al., 2020",Ladd,S60,31.43,78.28,2770,-94.81420598,,,29,-174.62,
"van der Veen et al., 2020",Ladd,AK28,30.69,79.89,2897,-95.49989809,,,29,-227.97,
"van der Veen et al., 2020",Ladd,S55,31.4,78.35,3120,-99.92249538,,,29,-156.05,
"van der Veen et al., 2020",Ladd,AK32/33,30.77,79.49,3155,-100.9423092,,,29,-175.95,
"van der Veen et al., 2020",Ladd,J8,28.4,84.26,3930,-102.4602958,,,29,-209.4,
"van der Veen et al., 2020",Ladd,J11,28.4,84.15,4000,-99.50814792,,,29,-228.93,
"Vogts et al., 2016",Liu,Southwest Africa,-27.95,14,,-18,,,29,-123,
"Vogts et al., 2016",Liu,Southwest Africa,-24.3,13,,-28,,,29,-131,
"Vogts et al., 2016",Liu,Southwest Africa,-22.72,12.6,,-26,,,29,-130,
"Vogts et al., 2016",Liu,Southwest Africa,-18.96,11.06,,-24,,,29,-129,
"Vogts et al., 2016",Liu,Southwest Africa,-15.63,11.58,,-30,,,29,-133,
"Vogts et al., 2016",Liu,Southwest Africa,-11.9,13.07,,-38,,,29,-133,
"Vogts et al., 2016",Liu,Southwest Africa,-10.17,12.69,,-35,,,29,-129,
"Vogts et al., 2016",Liu,Southwest Africa,-7.75,11.87,,-30,,,29,-131,
"Vogts et al., 2016",Liu,Southwest Africa,-5.5,11.07,,-22,,,29,-131,
"Vogts et al., 2016",Liu,Southwest Africa,-3.73,9.79,,-23,,,29,-127,
"Vogts et al., 2016",Liu,Southwest Africa,-2.07,8.63,,-31,,,29,-127,
"Vogts et al., 2016",Liu,Southwest Africa,-0.69,8.38,,-20,,,29,-127,
"Vogts et al., 2016",Liu,Southwest Africa,0.96,8.88,,-24,,,29,-133,
"Wang et al., 2017",Liu,Tibetan plateau,22.3,101.3,931,-56,,,29,-213,
"Wang et al., 2017",Liu,Tibetan plateau,22.7,101.3,956,-57,,,29,-288,
"Wang et al., 2017",Liu,Tibetan plateau,25.6,100.1,1265,-61,,,29,-161,
"Wang et al., 2017",Liu,Tibetan plateau,22.2,100.5,1400,-63,,,29,-210,
"Wang et al., 2017",Liu,Tibetan plateau,25.9,99.3,1745,-68,,,29,-172,
"Wang et al., 2017",Liu,Tibetan plateau,26.9,100,1881,-70,,,29,-196,
"Wang et al., 2017",Liu,Tibetan plateau,27.2,100,1971,-71,,,29,-204,
"Wang et al., 2017",Liu,Tibetan plateau,27.5,101.3,2233,-75,,,29,-195,
"Wang et al., 2017",Liu,Tibetan plateau,28.2,99.3,2248,-75,,,29,-221,
"Wang et al., 2017",Liu,Tibetan plateau,26.5,99.8,2357,-77,,,29,-166,
"Wang et al., 2017",Liu,Tibetan plateau,27.6,101,2362,-77,,,29,-186,
"Wang et al., 2017",Liu,Tibetan plateau,26.7,99.9,2459,-78,,,29,-168,
"Wang et al., 2017",Liu,Tibetan plateau,26.6,99.8,2463,-78,,,29,-183,
"Wang et al., 2017",Liu,Tibetan plateau,26.9,100,2500,-79,,,29,-189,
"Wang et al., 2017",Liu,Tibetan plateau,27.4,100.8,2538,-80,,,29,-169,
"Wang et al., 2017",Liu,Tibetan plateau,27.1,99.6,2549,-80,,,29,-190,
"Wang et al., 2017",Liu,Tibetan plateau,,,2600,-80,,,29,-178,
"Wang et al., 2017",Liu,Tibetan plateau,26.5,99.7,2635,-81,,,29,-213,
"Wang et al., 2017",Liu,Tibetan plateau,27.5,101.3,2754,-83,,,29,-181,
"Wang et al., 2017",Liu,Tibetan plateau,27.7,100.8,2764,-83,,,29,-205,
"Wang et al., 2017",Liu,Tibetan plateau,30.7,97.4,3060,-87,,,29,-219,
"Wang et al., 2017",Liu,Tibetan plateau,27.1,100.7,3075,-87,,,29,-215,
"Wang et al., 2017",Liu,Tibetan plateau,28.5,98.9,3300,-91,,,29,-231,
"Wang et al., 2017",Liu,Tibetan plateau,27.6,100.8,3340,-91,,,29,-191,
"Wang et al., 2017",Liu,Tibetan plateau,28.4,98.4,3516,-94,,,29,-243,
"Wang et al., 2017",Liu,Tibetan plateau,29.4,98.7,3590,-95,,,29,-221,
"Wang et al., 2017",Liu,Tibetan plateau,28.4,99,3750,-97,,,29,-240,
"Wang et al., 2017",Liu,Tibetan plateau,29.9,97.7,3818,-98,,,29,-247,
"Wang et al., 2017",Liu,Tibetan plateau,31.4,96.4,3969,-100,,,29,-240,
"Wang et al., 2017",Liu,Tibetan plateau,32.4,95.4,3970,-100,,,29,-234,
"Wang et al., 2017",Liu,Tibetan plateau,31.8,97.7,3978,-100,,,29,-202,
"Wang et al., 2017",Liu,Tibetan plateau,33.1,95.2,4146,-103,,,29,-208,
"Wang et al., 2017",Liu,Tibetan plateau,31.3,98,4147,-103,,,29,-240,
"Wang et al., 2017",Liu,Tibetan plateau,32.7,95.1,4154,-103,,,29,-234,
"Wang et al., 2017",Liu,Tibetan plateau,32.3,96,4226,-104,,,29,-241,
"Wu et al., 2019",Ladd,Los Amigos,-12.5588,-70.0993,286,-60.83551799,,,29,-173,
"Wu et al., 2019",Ladd,Villa Carmne,-12.8961,-71.4183,614,-76.25779185,,,29,-184,
"Wu et al., 2019",Ladd,San Pedro,-13.049,-71.537,1500,-90.68214874,,,29,-181,
"Wu et al., 2019",Ladd,Wayquecha,-13.19255,-71.58795,3015,-115.7223326,,,29,-203,
Xia et al 2008,McFarlin,KLK,37.28,96.88,2812,-36,1,2018,29,-126,8
Xia et al 2008,McFarlin,XQ,37.47,95.49,3163,-43,4,2018,29,-139,7
Xia et al 2008,McFarlin,YZY,29.03,90.47,4445,-129,0,2018,29,-187,6
Xia et al 2008,McFarlin,NC,30.64,90.6,4718,-139,4,2018,29,-246,9
Xia et al 2008,McFarlin,QY,28.89,90.22,4855,-135,2,2018,29,-199,9
"Gaviria-Lugo et al., 2023",NA,Quebrada Salitrosa,-26.1116,-70.5561,,-29.1,2.6,,29,-89.9,0.6
"Gaviria-Lugo et al., 2023",NA,Rio Pan de Azucar,-26.1487,-70.6527,,-50.8,3.2,,29,-126.2,2.2
"Gaviria-Lugo et al., 2023",NA,Rio Salado,-26.3366,-70.5699,,-47.8,3.1,,29,-138.8,0.5
"Gaviria-Lugo et al., 2023",NA,Quebrada Pto Flamenco,-26.5626,-70.6589,,-40.2,2.9,,29,-118.7,0.6
"Gaviria-Lugo et al., 2023",NA,Rio Copiapo,-27.3281,-70.9136,,-62.6,5,,29,-148.9,5.1
"Gaviria-Lugo et al., 2023",NA,Quebrada Totoral,-27.8321,-71.0816,,-48.9,3.3,,29,-151.5,2
"Gaviria-Lugo et al., 2023",NA,Rio Huasco,-28.4873,-71.1486,,-69.5,5.2,,29,-158.2,7
"Gaviria-Lugo et al., 2023",NA,Quebrada Los Choros,-29.3302,-71.2364,,-54.7,2.8,,29,-151.6,6.5
"Gaviria-Lugo et al., 2023",NA,Rio Elqui,-29.9459,-71.1293,,-70.2,5.2,,29,-154.7,8
"Gaviria-Lugo et al., 2023",NA,Rio Limari,-30.6585,-71.5072,,-59.7,3.4,,29,-165.4,2.8
"Gaviria-Lugo et al., 2023",NA,Rio Choapa,-31.5922,-71.5382,,-59.7,2.9,,29,-158.7,2.3
"Gaviria-Lugo et al., 2023",NA,Quebrada La Campana,-32.9082,-71.0994,,-53.4,1.3,,29,-170,1.7
"Gaviria-Lugo et al., 2023",NA,Rio Aconcagua,-32.9196,-71.3959,,-65.4,3.2,,29,-168.6,4.5
"Gaviria-Lugo et al., 2023",NA,Rio Maipo,-33.7738,-71.5272,,-63.3,2.8,,29,-167.2,6.8
"Gaviria-Lugo et al., 2023",NA,Rio Maule,-35.3882,-72.2978,,-51.5,1.8,,29,-155.2,0.7
"Gaviria-Lugo et al., 2023",NA,Rio Chovellen,-35.9254,-72.623,,-42.7,0.9,,29,-158,3
"Gaviria-Lugo et al., 2023",NA,Rio Itata,-36.3999,-72.7762,,-47.3,1.2,,29,-175.4,0.2
"Gaviria-Lugo et al., 2023",NA,Rio BioBio,-37.1131,-72.9647,,-54.9,1.7,,29,-158.1,1.8
"Gaviria-Lugo et al., 2023",NA,Estero Los Gringos,-37.8035,-72.9371,,-57.4,2.3,,29,-173.6,0.1
"Gaviria-Lugo et al., 2023",NA,Rio Imperial,-38.7287,-73.1267,,-54.5,0.9,,29,-163.4,1.4
"Gaviria-Lugo et al., 2023",NA,Rio Tolten,-39.0747,-73.1397,,-61.8,1.2,,29,-179.1,0.2
"Gaviria-Lugo et al., 2023",NA,Rio Cruces,-39.5493,-72.8419,,-57.3,0.5,,29,-160.4,6.1
"Gaviria-Lugo et al., 2023",NA,Rio CalleCalle,-39.7902,-73.1749,,-63.5,1,,29,-170,2.3
"Gaviria-Lugo et al., 2023",NA,Rio Bueno,-40.29,-73.5354,,-61.1,1,,29,-165.1,0.2
"Gaviria-Lugo et al., 2023",NA,Rio Llico,-41.2269,-73.753,,-54.8,1.6,,29,-171.2,5
"Gaviria-Lugo et al., 2023",NA,Rio Maullin,-41.474,-73.2726,,-53.8,1.4,,29,-168.4,9.1
"Gaviria-Lugo et al., 2023",NA,Choros,-29.3332,-71.2311,,-40.2,1,,29,-103,1.7
"Gaviria-Lugo et al., 2023",NA,Talca A,-30.0545,-71.094,,-42.6,0.9,,29,-160.9,0.1
"Gaviria-Lugo et al., 2023",NA,Talca B,-30.0548,-71.0894,,-42.6,0.9,,29,-153.5,2.4
"Gaviria-Lugo et al., 2023",NA,Cajon del Maipo,-33.5814,-70.3586,,-69.7,2.6,,29,-164.7,0.6
"Gaviria-Lugo et al., 2023",NA,SanAntonio-Maipo,-33.7736,-71.5246,,-44.1,0.6,,29,-182.7,1.1
"Gaviria-Lugo et al., 2023",NA,Rapel,-34.5693,-71.6361,,-44,0.8,,29,-170,0.1
"Gaviria-Lugo et al., 2023",NA,BioBio A,-37.1126,-72.9619,,-34.3,1.4,,29,-178.7,1.3
"Gaviria-Lugo et al., 2023",NA,BioBio B,-37.3473,-72.885,,-38.7,1.4,,29,-164.2,2.2
"Gaviria-Lugo et al., 2023",NA,CalleCalle,-39.7885,-72.9681,,-55,0.4,,29,-160.8,1.9
"Gaviria-Lugo et al., 2023",NA,Bueno,-40.3326,-73.4128,,-57.8,0.8,,29,-163.8,3.2
"Gaviria-Lugo et al., 2023",NA,Maullin A,-41.474,-73.2726,,-50,1.5,,29,-173.9,7.9
"Gaviria-Lugo et al., 2023",NA,Maullin B,-41.4787,-73.2756,,-50,1.5,,29,-185.2,0.7
"Gaviria-Lugo et al., 2023",NA,GeoB7118-1_1-2 cm,-25.9997,-70.8092,,,,,29,-108.5,3.5
"Gaviria-Lugo et al., 2023",NA,GeoB7116-1_1-2 cm,-26.0002,-70.9998,,,,,29,-118.9,2.7
"Gaviria-Lugo et al., 2023",NA,GeoB7123-2_1-2 cm,-27.29,-71.05,,,,,29,-150.9,5
"Gaviria-Lugo et al., 2023",NA,GeoB3377-1_1-2 cm,-27.4667,-71.525,,,,,29,-146.2,13.4
"Gaviria-Lugo et al., 2023",NA,GeoB3376-2_1-2 cm,-27.4667,-71.3617,,,,,29,-144.7,14.6
"Gaviria-Lugo et al., 2023",NA,GeoB3374-1_1-2 cm,-27.4733,-71.1717,,,,,29,-144.9,9
"Gaviria-Lugo et al., 2023",NA,GeoB7127-1_1-2 cm,-28.3837,-71.4712,,,,,29,-151.6,1.4
"Gaviria-Lugo et al., 2023",NA,GeoB7129-1_1-2 cm,-28.4168,-71.33,,,,,29,-155.8,10.8
"Gaviria-Lugo et al., 2023",NA,GeoB7130-1_1-2 cm,-28.42,-71.613,,,,,29,-152.1,5.5
"Gaviria-Lugo et al., 2023",NA,GeoB7135-1_1-2 cm,-29.6667,-71.6758,,,,,29,-155.6,1.3
"Gaviria-Lugo et al., 2023",NA,GeoB7134-1_1-2 cm,-29.72,-71.77,,,,,29,-153.2,3.6
"Gaviria-Lugo et al., 2023",NA,GeoB7138-1_1-2 cm,-30.13,-71.87,,,,,29,-154.6,5.2
"Gaviria-Lugo et al., 2023",NA,GeoB7144-1_1-2 cm,-31.16,-71.97,,,,,29,-151.9,0.2
"Gaviria-Lugo et al., 2023",NA,GeoB3304-3_1-2 cm,-32.89,-72.1933,,,,,29,-153.8,2.9
"Gaviria-Lugo et al., 2023",NA,GeoB3303-1_1-2 cm,-33.2067,-72.2,,,,,29,-158,5
"Gaviria-Lugo et al., 2023",NA,GeoB3311-2_1-2 cm,-33.6067,-72.0467,,,,,29,-157.3,4.2
"Gaviria-Lugo et al., 2023",NA,GeoB7152-1_1-2 cm,-33.8,-72.1102,,,,,29,-167.8,0.4
"Gaviria-Lugo et al., 2023",NA,GeoB3352-2_1-2 cm,-35.2167,-73.3167,,,,,29,-166.3,0.5
"Gaviria-Lugo et al., 2023",NA,GeoB3355-4_1-2 cm,-35.2183,-73.1167,,,,,29,-162.8,1.1
"Gaviria-Lugo et al., 2023",NA,GeoB7157-1_1-2 cm,-35.78,-73.59,,,,,29,-164.2,3.3
"Gaviria-Lugo et al., 2023",NA,GeoB7160-4_1-2 cm,-36.0385,-73.0735,,,,,29,-168,2.2
"Gaviria-Lugo et al., 2023",NA,GeoB7167-4_1-2 cm,-36.45,-73.91,,,,,29,-149.8,2.7
"Gaviria-Lugo et al., 2023",NA,GeoB7162-4_1-2 cm,-36.5427,-73.6672,,,,,29,-164.8,0.3
"Gaviria-Lugo et al., 2023",NA,GeoB7198-1_1-2 cm,-38.17,-74.39,,,,,29,-150.6,2.6
"Gaviria-Lugo et al., 2023",NA,GeoB7209-2_1-2 cm,-38.9913,-74.1642,,,,,29,-161.5,5.9
"Gaviria-Lugo et al., 2023",NA,GeoB7207-1_1-2 cm,-39.07,-74.37,,,,,29,-166.3,4.1
"Gaviria-Lugo et al., 2023",NA,GeoB7212-1_1-2 cm,-39.7,-74.38,,,,,29,-153.8,2.9
"Gaviria-Lugo et al., 2023",NA,GeoB7214-1_1-2 cm,-39.875,-74.1672,,,,,29,-155.9,1.6
"Gaviria-Lugo et al., 2023",NA,GeoB7194-1_1-2 cm,-41.4175,-74.4337,,,,,29,-164.1,4.5
"Wang et al., 2023",NA,Gaoqiao G1,21.58,109.75,,,,,29,-165,
"Wang et al., 2023",NA,Gaoqiao G2,21.57,109.75,,,,,29,-146,
"Wang et al., 2023",NA,Gaoqiao G3,21.57,109.75,,,,,29,-160,
"Wang et al., 2023",NA,Gaoqiao G4,21.57,109.75,,,,,29,-178,
"Wang et al., 2023",NA,Gaoqiao G6,21.57,109.76,,,,,29,-169,
"Wang et al., 2023",NA,Huguang H1,21.11,110.31,,,,,29,-186,
"Wang et al., 2023",NA,Huguang H2,21.1,110.31,,,,,29,-154,
"Wang et al., 2023",NA,Huguang H3,21.1,110.3,,,,,29,-157,
"Wang et al., 2023",NA,Techeng T1,21.15,110.44,,,,,29,-131,
"Wang et al., 2023",NA,Techeng T2,21.15,110.44,,,,,29,-131,
"Wang et al., 2023",NA,Techeng T3,21.15,110.44,,,,,29,-182,
"Wang et al., 2023",NA,Techeng T4,21.15,110.44,,,,,29,-135,
"Wang et al., 2023",NA,Techeng T5,21.15,110.44,,,,,29,-149,
"Wang et al., 2023",NA,Techeng T6,21.16,110.44,,,,,29,-135,
"Corcoran et al., 2022",NA,Tarn 2,-51.6959,-58.8276,,,,,29,-165,
"Corcoran et al., 2022",NA,Tarn 2,-51.6959,-58.8276,,,,,29,-161,
"Corcoran et al., 2022",NA,Tarn 4,-51.7022,-58.8276,,,,,29,-168,
"Corcoran et al., 2022",NA,Tarn 4,-51.7022,-58.8276,,,,,29,-165,
"Corcoran et al., 2022",NA,Tarn 4,-51.7022,-58.8276,,,,,29,-163,
