source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
"Feng et al., 2019",Ladd,JH3,26.555,99.968,2412,-83.49885263,,,29,-210,
"Feng et al., 2019",Ladd,JH4,26.56,99.975,2505,-84.09134305,,,29,-210,
"Feng et al., 2019",Ladd,LJ3,26.64,99.85,2509,-86.49041781,,,29,-214,
"Feng et al., 2019",Ladd,JH5,26.558,99.982,2600,-84.75390737,,,29,-206,
"Feng et al., 2019",Ladd,LJ4,26.635,99.836,2615,-87.32545894,,,29,-214,
"Feng et al., 2019",Ladd,JH6,26.54,99.992,2701,-86.00246992,,,29,-209,
"Feng et al., 2019",Ladd,LJ6,26.643,99.821,2800,-88.10394643,,,29,-213,
"Feng et al., 2019",Ladd,JH8,26.547,100,2901,-86.63155468,,,29,-221,
"Feng et al., 2019",Ladd,JH9,26.537,100.003,3007,-87.17789898,,,29,-218,
"Feng et al., 2019",Ladd,LJ8,26.654,99.805,3011,-88.48044349,,,29,-216,
"Feng et al., 2019",Ladd,LJ9,26.658,99.794,3125,-88.68375622,,,29,-207,
"Feng et al., 2019",Ladd,LJ10,26.659,99.788,3224,-89.07249616,,,29,-242,
"Feng et al., 2019",Ladd,LJ11,26.658,99.783,3303,-89.65413298,,,29,-237,
"Feng et al., 2019",Ladd,LJ12,26.655,99.779,3403,-90.27554597,,,29,-239,
"Feng et al., 2019",Ladd,LJ13,26.648,99.776,3504,-91.08674407,,,29,-226,
"Feng et al., 2019",Ladd,LJ14,26.637,99.752,3608,-94.63215983,,,29,-242,
"Feng et al., 2019",Ladd,LJ15,26.648,99.74,3789,-95.01479408,,,29,-242,
"Feng et al., 2019",Ladd,TCS2017,26.631,99.718,3886,-99.17123059,,,29,-220,
"Feng et al., 2019",Ladd,LJ17,26.628,99.722,3918,-98.99984446,,,29,-217,
Freimuth et al 2019a,McFarlin,BLB,40.68,-82.06,291,-50,2,2019,29,-176,3
Freimuth et al 2019b,McFarlin,Sucker,44.18,-75.12,426,-74,1,2019,29,-197,
Freimuth et al 2019b,McFarlin,Chazy,44.73,-73.82,466,-76,1,2019,29,-188,
Freimuth et al 2019b,McFarlin,Raquette,44.23,-74.47,470,-74,1,2019,29,-186,
Freimuth et al 2019b,McFarlin,Moose,44.37,-74.06,475,-74,1,2019,29,-190,
Freimuth et al 2019b,McFarlin,Debar,44.62,-74.19,483,-76,1,2019,29,-196,
Freimuth et al 2019b,McFarlin,East Pine,44.34,-74.41,513,-75,1,2019,29,-193,
Freimuth et al 2019b,McFarlin,Little Green,44.36,-74.3,521,-75,1,2019,29,-190,
Freimuth et al 2019b,McFarlin,Hope,44.51,-74.13,523,-76,1,2019,29,-190,
Freimuth et al 2019b,McFarlin,Horseshoe,44.14,-74.62,524,-74,1,2019,29,-188,
Freimuth et al 2019b,McFarlin,Quiver,43.74,-74.87,539,-72,1,2019,29,-179,
Freimuth et al 2019b,McFarlin,Wolf,44.02,-74.22,558,-73,1,2019,29,-179,
Freimuth et al 2019b,McFarlin,Heart,44.18,-73.97,665,-75,1,2019,29,-186,
Garcin et al 2012,McFarlin,OSSA,3.77,10,17,-14,1,2018,29,-147,4
Garcin et al 2012,McFarlin,DEBU,4.1,8.98,70,-14,0,2018,29,-153,5
Garcin et al 2012,McFarlin,BARO,4.65,9.41,304,-17,3,2018,29,-164,1
Garcin et al 2012,McFarlin,MAMG,8.39,13.71,322,-22,10,2018,29,-156,8
Garcin et al 2012,McFarlin,MORA,11.05,14.15,438,-23,3,2018,29,-170,3
Garcin et al 2012,McFarlin,ASSO,6.62,12.98,896,-22,8,2018,29,-154,3
Garcin et al 2012,McFarlin,RHUM,10.51,13.58,1028,-33,5,2018,29,-167,3
Garcin et al 2012,McFarlin,TIZO,7.25,13.58,1155,-27,4,2018,29,-155,1
Garcin et al 2012,McFarlin,TABE,7.13,13.69,1161,-26,5,2018,29,-167,1
Garcin et al 2012,McFarlin,BALE,5.55,10.42,1376,-32,9,2018,29,-150,1
Garcin et al 2012,McFarlin,MANE,5.04,9.83,1911,-41,10,2018,29,-185,4
