source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
"Lu et al., 2020",Ladd,JY-04,42.418,126.676,592.0,-62.62232344,,,29,-194.0,,original,,,,,,
"Lu et al., 2020",Ladd,JY-05,42.409,126.683,599.0,-62.52318849,,,29,-195.0,,original,,,,,,
"Lu et al., 2020",Ladd,JY-01,42.373,126.859,601.0,-61.88210517,,,29,-190.0,,original,,,,,,
"Lu et al., 2020",Ladd,BYQ-01,43.299,118.302,691.0,-74.73296858,,,29,-196.0,,original,,,,,,
"Lu et al., 2020",Ladd,BYQ-05,42.3,118.304,696.0,-76.57092441,,,29,-191.0,,original,,,,,,
"Lu et al., 2020",Ladd,FS-01,42.228,127.403,701.0,-63.8964936,,,29,-196.0,,original,,,,,,
"Lu et al., 2020",Ladd,FS-03,42.228,127.403,703.0,-63.8964936,,,29,-197.0,,original,,,,,,
"Lu et al., 2020",Ladd,CB-01,42.05,127.684,882.0,-66.59191784,,,29,-195.0,,original,,,,,,
"Lu et al., 2020",Ladd,CB-50,42.05,127.685,882.0,-66.60176672,,,29,-190.0,,original,,,,,,
"Lu et al., 2020",Ladd,CB-02,42.05,127.685,883.0,-66.60176672,,,29,-191.0,,original,,,,,,
"Lu et al., 2020",Ladd,ET-02,43.64,112.298,969.0,-67.25821614,,,29,-177.0,,original,,,,,,
"Lu et al., 2020",Ladd,ET-03,43.64,112.297,972.0,-67.25458222,,,29,-178.0,,original,,,,,,
"Lu et al., 2020",Ladd,ABQ-03,43.989,114.843,1118.0,-77.6292877,,,29,-174.0,,original,,,,,,
"Lu et al., 2020",Ladd,ABQ-05,43.989,114.843,1122.0,-77.6292877,,,29,-172.0,,original,,,,,,
"Lu et al., 2020",Ladd,KQ-02,43.241,117.378,1135.0,-82.01902481,,,29,-192.0,,original,,,,,,
"Lu et al., 2020",Ladd,KQ-01,43.241,117.377,1136.0,-82.02655303,,,29,-177.0,,original,,,,,,
"Lu et al., 2020",Ladd,KQ-05,43.241,117.377,1137.0,-82.02655303,,,29,-186.0,,original,,,,,,
"Lu et al., 2020",Ladd,SNQ-02,43.843,113.79,1161.0,-74.61761066,,,29,-184.0,,original,,,,,,
"Lu et al., 2020",Ladd,SNQ-01,43.843,113.789,1162.0,-74.60947591,,,29,-183.0,,original,,,,,,
"Lu et al., 2020",Ladd,XM-02,43.676,116.643,1181.0,-80.46404627,,,29,-188.0,,original,,,,,,
"Lu et al., 2020",Ladd,XM-01,43.677,116.643,1183.0,-80.46190723,,,29,-189.0,,original,,,,,,
McFarlin et al 2019,McFarlin,T3,63.75,-51.35,30.0,-106.0,7.0,2018.0,29,-215.5,3.9,original,,,,,,
McFarlin et al 2019,McFarlin,T2,63.76,-51.37,57.0,-106.0,7.0,2018.0,29,-218.3,3.8,original,,,,,,
McFarlin et al 2019,McFarlin,RTL5,66.98,-50.92,65.0,-135.0,14.0,2018.0,29,-250.6,3.7,original,,,,,,
McFarlin et al 2019,McFarlin,T1,63.76,-51.36,75.0,-107.0,7.0,2018.0,29,-203.4,3.8,original,,,,,,
McFarlin et al 2019,McFarlin,PLK,63.8,-51.19,76.0,-107.0,7.0,2018.0,29,-206.1,3.6,original,,,,,,
McFarlin et al 2019,McFarlin,RTL4,67.01,-50.67,112.0,-137.0,13.0,2018.0,29,-254.9,3.8,original,,,,,,
McFarlin et al 2019,McFarlin,LSL,67.05,-50.52,124.0,-139.0,13.0,2018.0,29,-236.6,5.5,original,,,,,,
McFarlin et al 2019,McFarlin,TUP,60.38,-44.3,145.0,-89.0,2.0,2018.0,29,-215.0,3.8,original,,,,,,
McFarlin et al 2019,McFarlin,RTL3,67.06,-50.45,170.0,-140.0,13.0,2018.0,29,-232.4,6.4,original,,,,,,
McFarlin et al 2019,McFarlin,STR,76.67,-67.94,224.0,-181.0,1.0,2018.0,29,-247.5,6.0,original,,,,,,
McFarlin et al 2019,McFarlin,SEC,76.58,-68.66,248.0,-181.0,1.0,2018.0,29,-246.3,3.6,original,,,,,,
McFarlin et al 2019,McFarlin,SHL,67.15,-50.13,335.0,-146.0,11.0,2018.0,29,-250.7,3.6,original,,,,,,
McFarlin et al 2019,McFarlin,USHL,67.15,-50.13,340.0,-147.0,11.0,2018.0,29,-256.7,4.1,original,,,,,,
McFarlin et al 2019,McFarlin,RTL1,67.15,-50.08,443.0,-148.0,11.0,2018.0,29,-239.5,3.7,original,,,,,,
McFarlin et al 2019,McFarlin,RTL2,67.14,-50.08,449.0,-148.0,11.0,2018.0,29,-224.3,6.1,original,,,,,,
McFarlin et al 2019,McFarlin,NS1,76.82,-67.05,455.0,-186.0,2.0,2018.0,29,-234.7,3.8,original,,,,,,
McFarlin et al 2019,McFarlin,SCP,60.7,-45.42,475.0,-96.0,2.0,2018.0,29,-210.7,3.9,original,,,,,,
McFarlin et al 2019,McFarlin,PIN,60.7,-45.1,480.0,-96.0,2.0,2018.0,29,-215.7,5.5,original,,,,,,
McFarlin et al 2019,McFarlin,WLL,76.85,-66.96,517.0,-187.0,2.0,2018.0,29,-264.1,7.1,original,,,,,,
McFarlin et al 2019,McFarlin,LNR,60.87,-45.72,751.0,-101.0,3.0,2018.0,29,-202.8,5.8,original,,,,,,
McFarlin et al 2019,McFarlin,NAR,60.87,-45.72,766.0,-101.0,3.0,2018.0,29,-209.8,4.2,original,,,,,,
Mugler et al 2008,McFarlin,HZM,50.12,6.88,425.0,-56.0,2.0,2018.0,29,-198.0,1.0,original,,,,,,
Mugler et al 2008,McFarlin,Tibet_ave (NC),30.64,90.6,4718.0,-139.0,4.0,2018.0,29,-246.0,36.4,original,,,,,,
Mugler et al 2008,McFarlin,Tibet 4 (CJ),30.9,90.87,4718.0,-139.0,4.0,2018.0,29,-255.0,3.0,original,,,,,,
Nelson et al 2018,McFarlin,Rot,47.07,8.31,419.0,-65.0,2.0,2018.0,29,-200.0,,original,,,,,,
Nelson et al 2018,McFarlin,Greifen,47.35,8.67,439.0,-66.0,2.0,2018.0,29,-193.2,,original,,,,,,
Nelson et al 2018,McFarlin,Baldegg,47.2,8.26,463.0,-66.0,2.0,2018.0,29,-199.7,,original,,,,,,
Nelson et al 2018,McFarlin,Sarnen,46.87,8.22,469.0,-66.0,3.0,2018.0,29,-142.4,,original,,,,,,
Nelson et al 2018,McFarlin,Mauen,47.17,8.08,504.0,-67.0,1.0,2018.0,29,-200.2,,original,,,,,,
Nelson et al 2018,McFarlin,Soppen,47.09,8.08,596.0,-68.0,1.0,2018.0,29,-200.6,,original,,,,,,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-163.0,,,29,-275.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-163.0,,,29,-275.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-163.0,,,29,-285.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-163.0,,,29,-269.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Christie Mine, Dominion Creek",63.65,-138.63,581.0,-163.0,,,29,-274.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-163.0,,,29,-259.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-163.0,,,29,-270.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-163.0,,,29,-278.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-163.0,,,29,-274.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-246.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-261.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-257.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-262.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-266.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-263.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-265.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-268.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-270.0,,original,,,,,,
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-163.0,,,29,-268.0,,original,,,,,,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-165.0,,,29,-279.0,,original,,,,,,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-165.0,,,29,-274.0,,original,,,,,,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-165.0,,,29,-273.0,,original,,,,,,
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-165.0,,,29,-266.0,,original,,,,,,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-164.0,,,29,-259.0,,original,,,,,,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-164.0,,,29,-241.0,,original,,,,,,
"Pautler et al., 2014",Liu,Kluane Lake,61.15,-138.45,748.0,-164.0,,,29,-260.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,1727.0,-23.0,,,29,-114.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,1822.0,-24.0,,,29,-135.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,1967.0,-27.0,,,29,-156.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2068.0,-28.0,,,29,-152.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2124.0,-29.0,,,29,-140.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2239.0,-30.0,,,29,-136.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2346.0,-32.0,,,29,-144.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2464.0,-34.0,,,29,-147.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2578.0,-35.0,,,29,-139.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2652.0,-36.0,,,29,-144.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2764.0,-38.0,,,29,-149.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2885.0,-40.0,,,29,-138.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,2999.0,-41.0,,,29,-144.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,3070.0,-42.0,,,29,-154.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,3157.0,-43.0,,,29,-143.0,,original,,,,,,
"Peterse et al., 2009",Liu,Mt. Kilimanjaro,-3.0,37.0,3245.0,-45.0,,,29,-151.0,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Zapatera,11.77,-85.85,32.0,-32.0,2.0,2018.0,29,-159.2,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Bear Meadows,40.73,-77.76,552.0,-65.0,2.0,2018.0,29,-191.3,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Owens Lake,36.49,-117.89,1147.0,-85.0,4.0,2018.0,29,-191.2,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Rainy Lake,48.5,-120.74,1460.0,-111.0,5.0,2018.0,29,-209.7,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Waddell Lake,48.44,-120.82,1499.616,-109.0,5.0,2018.0,29,-216.2,2.8,original,,,,,,
Polissar and Freeman 2010,McFarlin,Berdeen Lake,48.71,-121.47,1560.576,-105.0,6.0,2018.0,29,-200.4,3.7,original,,,,,,
Polissar and Freeman 2010,McFarlin,Mono Lake,37.94,-119.03,1899.0,-99.0,2.0,2018.0,29,-194.0,0.9,original,,,,,,
Polissar and Freeman 2010,McFarlin,Lake Crowley,37.58,-118.74,2058.0,-103.0,2.0,2018.0,29,-238.0,3.0,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Los Lirios,8.31,-71.83,2305.1,-67.0,5.0,2018.0,29,-164.3,1.2,original,,,,,,
Polissar and Freeman 2010,McFarlin,Blue (Eagle) Lake,39.75,-106.76,2536.0,-98.0,1.0,2018.0,29,-207.3,1.4,original,,,,,,
Polissar and Freeman 2010,McFarlin,Emerald Lake,39.07,-111.5,3093.0,-120.0,5.0,2018.0,29,-204.3,1.8,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Victoria,8.81,-70.8,3210.9,-78.0,10.0,2018.0,29,-191.1,1.6,original,,,,,,
Polissar and Freeman 2010,McFarlin,S. Grizzly Lake,39.69,-107.33,3239.0,-111.0,4.0,2018.0,29,-205.4,4.5,original,,,,,,
Polissar and Freeman 2010,McFarlin,Bison Lake,39.76,-107.35,3276.0,-112.0,4.0,2018.0,29,-205.2,2.6,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Negra,8.79,-70.81,3459.9,-82.0,11.0,2018.0,29,-177.5,3.3,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Mucubaji,8.8,-70.83,3570.2,-84.0,11.0,2018.0,29,-192.3,2.2,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Michurao Alto,8.73,-70.86,3738.0,-87.0,12.0,2018.0,29,-187.6,,original,,,,,,
Polissar and Freeman 2010,McFarlin,"Laguna Royal ""D""",8.73,-70.87,3763.7,-87.0,12.0,2018.0,29,-199.2,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Misteque,8.72,-70.88,3803.8,-88.0,12.0,2018.0,29,-195.8,,original,,,,,,
Polissar and Freeman 2010,McFarlin,"Laguna Royal ""C""",8.72,-70.87,3830.2,-88.0,12.0,2018.0,29,-194.0,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna de La Pata,8.65,-70.93,3980.2,-91.0,13.0,2018.0,29,-188.5,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Arenales Alta,8.73,-71.19,4005.0,-93.0,12.0,2018.0,29,-185.9,3.7,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Verdes Baja,8.86,-70.87,4169.8,-94.0,14.0,2018.0,29,-184.3,3.5,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Grande de los Patos,8.81,-70.95,4189.8,-95.0,14.0,2018.0,29,-190.5,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Verdes Medio,8.86,-70.87,4191.7,-94.0,14.0,2018.0,29,-180.1,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna La Cura,8.81,-70.95,4230.1,-95.0,14.0,2018.0,29,-187.2,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Lago Taypi Chaka Kkota,-16.2,-68.35,4300.0,-105.0,5.0,2018.0,29,-224.6,,original,,,,,,
Polissar and Freeman 2010,McFarlin,Laguna Potosi,-19.64,-65.7,4640.0,-112.0,4.0,2018.0,29,-205.6,11.4,original,,,,,,
Sachse et al 2004,McFarlin,MAS,43.83,10.31,18.0,-36.0,2.0,2018.0,29,-159.0,7.0,original,,,,,,
Sachse et al 2004,McFarlin,SOR,55.55,11.7,30.0,-65.0,1.0,2018.0,29,-201.0,2.0,original,,,,,,
Sachse et al 2004,McFarlin,HYY,61.85,24.28,149.0,-89.0,1.0,2018.0,29,-205.0,4.0,original,,,,,,
Sachse et al 2004,McFarlin,LAM,61.06,25.1,151.0,-88.0,1.0,2018.0,29,-205.0,4.0,original,,,,,,
Sachse et al 2004,McFarlin,SYR,61.19,25.14,156.0,-88.0,1.0,2018.0,29,-207.0,2.0,original,,,,,,
Sachse et al 2004,McFarlin,SOD003,67.38,26.85,178.0,-98.0,1.0,2018.0,29,-215.0,9.0,original,,,,,,
Sachse et al 2004,McFarlin,SOD007,67.36,27.17,293.0,-99.0,1.0,2018.0,29,-227.0,5.0,original,,,,,,
Sachse et al 2004,McFarlin,KEI,68.67,21.52,428.0,-114.0,2.0,2018.0,29,-230.0,5.0,original,,,,,,
Sachse et al 2004,McFarlin,HZM,50.12,6.88,436.0,-56.0,2.0,2018.0,29,-198.0,1.0,original,,,,,,
Sachse et al 2004,McFarlin,NAI,68.85,21.18,463.0,-115.0,2.0,2018.0,29,-221.0,2.0,original,,,,,,
Sachse et al 2004,McFarlin,MEZ,42.61,11.77,466.0,-41.0,1.0,2018.0,29,-167.0,3.0,original,,,,,,
Sachse et al 2004,McFarlin,LGM,40.93,15.6,674.0,-48.0,1.0,2018.0,29,-180.0,3.0,original,,,,,,
Sachse et al 2004,McFarlin,LPM,40.93,15.61,685.0,-48.0,1.0,2018.0,29,-169.0,2.0,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,3.77,,,-8.0,,,29,-152.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,4.1,,,-13.0,,,29,-166.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,4.65,,,-15.0,,,29,-148.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,5.03,,,-16.0,,,29,-152.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,6.62,,,-18.0,,,29,-163.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,7.13,,,-16.0,,,29,-170.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,7.25,,,-28.0,,,29,-181.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,8.39,,,-16.0,,,29,-147.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,10.51,,,-26.0,,,29,-184.0,,original,,,,,,
"Schwab et al., 2015",Liu,Cameroon,11.05,,,-39.0,,,29,-188.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-203.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-198.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-195.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-211.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-203.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-212.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-208.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-210.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-195.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-213.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-213.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-213.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-203.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-205.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-203.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-186.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-207.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-199.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-216.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-224.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-208.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-218.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-222.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-217.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-225.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-220.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-221.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-222.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-227.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-244.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-240.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-219.0,,original,,,,,,
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-60.0,,,29,-229.0,,original,,,,,,
"Struck et al., 2020",Ladd,P13,44.51,105.35,1314.0,-64.16998851,,,29,-154.1,,original,,,,,,
"Struck et al., 2020",Ladd,UGC3,47.76,102.81,1333.0,-81.3180184,,,29,-184.7,,original,,,,,,
"Struck et al., 2020",Ladd,UGC12,47.75,102.77,1337.0,-81.21882759,,,29,-184.7,,original,,,,,,
"Struck et al., 2020",Ladd,P9,45.36,105.69,1342.0,-78.46364119,,,29,-204.8,,original,,,,,,
"Struck et al., 2020",Ladd,UGC7,47.75,102.8,1343.0,-81.31726361,,,29,-186.1,,original,,,,,,
"Struck et al., 2020",Ladd,P15,44.11,105.05,1358.0,-57.67930632,,,29,-172.7,,original,,,,,,
"Struck et al., 2020",Ladd,UGC15,47.74,102.74,1366.0,-81.01477017,,,29,-203.1,,original,,,,,,
"Struck et al., 2020",Ladd,P6,46.86,106.64,1376.0,-77.13973617,,,29,-183.2,,original,,,,,,
"Struck et al., 2020",Ladd,P7,45.71,106.12,1406.0,-82.33930859,,,29,-178.8,,original,,,,,,
"Struck et al., 2020",Ladd,P23,43.59,103.04,1443.0,-56.40793184,,,29,-142.6,,original,,,,,,
"Struck et al., 2020",Ladd,P19,43.19,104.87,1453.0,-52.95603384,,,29,-152.2,,original,,,,,,
"Struck et al., 2020",Ladd,P5,47.42,106.77,1611.0,-78.64194287,,,29,-182.3,,original,,,,,,
"Struck et al., 2020",Ladd,TLC2,48.79,97.3,1792.0,-101.6527473,,,29,-189.0,,original,,,,,,
"Struck et al., 2020",Ladd,TLC1,48.79,97.3,1796.0,-101.6527473,,,29,-193.7,,original,,,,,,
"Struck et al., 2020",Ladd,TLC3,48.79,97.3,1797.0,-101.6527473,,,29,-190.9,,original,,,,,,
"Struck et al., 2020",Ladd,TLC10,48.79,97.33,1797.0,-101.7950614,,,29,-195.8,,original,,,,,,
"Struck et al., 2020",Ladd,TLC12,48.78,97.33,1799.0,-101.9754658,,,29,-190.7,,original,,,,,,
"Struck et al., 2020",Ladd,TLC5,48.79,97.34,1802.0,-101.8424994,,,29,-190.7,,original,,,,,,
"Struck et al., 2020",Ladd,TLC8,48.8,97.38,1808.0,-102.0363412,,,29,-189.0,,original,,,,,,
"Struck et al., 2020",Ladd,TLC9,48.79,97.33,1811.0,-101.7950614,,,29,-184.2,,original,,,,,,
"Struck et al., 2020",Ladd,TLC11,48.79,97.34,1814.0,-101.8424994,,,29,-193.5,,original,,,,,,
"Struck et al., 2020",Ladd,TLC6,48.8,97.35,1841.0,-101.9163979,,,29,-175.1,,original,,,,,,
"Struck et al., 2020",Ladd,TLC7,48.8,97.37,1852.0,-102.0005823,,,29,-183.0,,original,,,,,,
"Struck et al., 2020",Ladd,TLC13,48.77,97.3,1859.0,-102.0389575,,,29,-184.9,,original,,,,,,
"Struck et al., 2020",Ladd,TLC15,48.76,97.25,1895.0,-102.0265012,,,29,-200.4,,original,,,,,,
"Struck et al., 2020",Ladd,TLC4,48.76,97.3,1942.0,-102.2320626,,,29,-166.5,,original,,,,,,
"Struck et al., 2020",Ladd,T11,48.42,98.9,1948.0,-101.974667,,,29,-203.6,,original,,,,,,
"Struck et al., 2020",Ladd,TLC14,48.75,97.22,1952.0,-102.0181629,,,29,-189.9,,original,,,,,,
"Struck et al., 2020",Ladd,TSC5,48.15,99.75,2054.0,-100.319291,,,29,-203.2,,original,,,,,,
"Struck et al., 2020",Ladd,TSC3,48.15,99.72,2065.0,-99.76146772,,,29,-198.3,,original,,,,,,
"Struck et al., 2020",Ladd,T10,48.35,98.92,2133.0,-104.731544,,,29,-200.9,,original,,,,,,
"Struck et al., 2020",Ladd,T1,48.24,99.02,2235.0,-105.7638403,,,29,-199.1,,original,,,,,,
"Struck et al., 2020",Ladd,T2,48.25,99.01,2284.0,-106.4289757,,,29,-214.9,,original,,,,,,
"Struck et al., 2020",Ladd,T7b,48.31,98.92,2343.0,-106.9573758,,,29,-199.8,,original,,,,,,
"Struck et al., 2020",Ladd,T7a,48.31,98.92,2343.0,-106.9573758,,,29,-195.8,,original,,,,,,
"Struck et al., 2020",Ladd,T3,48.26,98.99,2382.0,-107.1106057,,,29,-203.3,,original,,,,,,
"Struck et al., 2020",Ladd,T6,48.3,98.94,2441.0,-107.7793474,,,29,-205.0,,original,,,,,,
"Struck et al., 2020",Ladd,T4,48.28,98.98,2475.0,-108.1100583,,,29,-206.7,,original,,,,,,
"Struck et al., 2020",Ladd,T5,48.29,98.95,2528.0,-108.4263134,,,29,-201.8,,original,,,,,,
"van der Veen et al., 2020",Ladd,ARU11106SoA,26.81,87.22,225.0,-48.72088159,,,29,-148.45,,original,,,,,,
