source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
Douglas et al 2012,McFarlin,Taulabe,14.71,-87.97,557.0,-32.0,2.0,2018.0,29,-152.7,2.0,original,,,,,,
Douglas et al 2012,McFarlin,Comayagua,14.45,-87.65,563.0,-32.0,2.0,2018.0,29,-166.8,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Copan,14.84,-89.15,613.0,-34.0,1.0,2018.0,29,-156.4,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Pena Blanca,14.94,-88.03,655.0,-33.0,1.0,2018.0,29,-160.0,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Rio Blanco,14.89,-89.03,707.0,-36.0,1.0,2018.0,29,-160.5,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Rio Jalan,14.45,-86.81,765.0,-33.0,2.0,2018.0,29,-157.9,2.0,original,,,,,,
Douglas et al 2012,McFarlin,Gaungolo,14.26,-87.24,829.0,-35.0,1.0,2018.0,29,-165.8,1.0,original,,,,,,
Douglas et al 2012,McFarlin,Rio Rosario,14.48,-86.98,891.0,-36.0,2.0,2018.0,29,-153.7,2.0,original,,,,,,
Douglas et al 2012,McFarlin,El Chile,14.35,-86.85,1380.0,-43.0,4.0,2018.0,29,-158.1,4.0,original,,,,,,
Douglas et al 2012,McFarlin,Santa Lucia,14.12,-87.09,1405.0,-43.0,3.0,2018.0,29,-135.1,1.0,original,,,,,,
Duan et al 2011,McFarlin,Lake Qinghai,37.0,100.0,3193.0,-53.0,5.0,2018.0,29,-157.0,8.8,original,,,,,,
"Feng et al., 2019",Ladd,JS13,26.4786,100.4194,1246.0,-73.08368901,,,29,-202.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS12,26.5017,100.4082,1309.0,-73.94167809,,,29,-169.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS8,26.487,100.371,1701.0,-75.34407937,,,29,-204.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS7,26.489,100.353,1794.0,-76.81151062,,,29,-177.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS6,26.486,100.348,1906.0,-77.04747416,,,29,-166.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS5,26.485,100.345,2000.0,-77.21626809,,,29,-177.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS4,26.489,100.346,2092.0,-77.36349671,,,29,-185.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS3,26.485,100.338,2190.0,-77.73325233,,,29,-197.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH1,26.54,99.958,2263.0,-82.67067436,,,29,-205.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS2,26.487,100.323,2290.0,-79.00912049,,,29,-203.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ1,26.63,99.915,2305.0,-83.51214892,,,29,-197.0,,original,,,,,,
"Feng et al., 2019",Ladd,JH2,26.549,99.961,2319.0,-82.88445762,,,29,-198.0,,original,,,,,,
"Feng et al., 2019",Ladd,JS1,26.494,100.312,2386.0,-80.53343762,,,29,-204.0,,original,,,,,,
"Feng et al., 2019",Ladd,LJ2,26.639,99.879,2400.0,-84.87555156,,,29,-211.0,,original,,,,,,
