Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Daniels et al. 2017,Manual extraction,"E5, Toolik area, Alaska",68.643,-149.458,800.0,-261.0,,Lake sediment,Arctic tundra,Tundra,-166.0,7.0,-113.9,,,Arctic tundra,Precip d2H = weighted mean annual,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"E6, Toolik area, Alaska",68.644,-149.439,794.0,-266.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-119.9,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"FOG2, Toolik area, Alaska",68.679,-149.089,776.0,-259.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-111.5,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Daniels et al. 2017,Manual extraction,"FOG4, Toolik area, Alaska",68.68,-149.072,760.0,-264.0,,Lake sediment,Arctic tundra,Tundra,-166.0,6.0,-117.5,,,Arctic tundra,,10.1016/j.gca.2017.06.028,Manual extraction,Both,OK
Douglas et al 2012,McFarlin,Santa Lucia,14.12,-87.09,1405.0,-135.1,1.0,Soil,,,-43.0,3.0,-96.2,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Gaungolo,14.26,-87.24,829.0,-165.8,1.0,Soil,,,-35.0,1.0,-135.5,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,El Chile,14.35,-86.85,1380.0,-158.1,4.0,Soil,,,-43.0,4.0,-120.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Comayagua,14.45,-87.65,563.0,-166.8,1.0,Soil,,,-32.0,2.0,-139.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Rio Jalan,14.45,-86.81,765.0,-157.9,2.0,Soil,,,-33.0,2.0,-129.2,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Rio Rosario,14.48,-86.98,891.0,-153.7,2.0,Soil,,,-36.0,2.0,-122.1,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Taulabe,14.71,-87.97,557.0,-152.7,2.0,Soil,,,-32.0,2.0,-124.7,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Copan,14.84,-89.15,613.0,-156.4,1.0,Soil,,,-34.0,1.0,-126.7,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Rio Blanco,14.89,-89.03,707.0,-160.5,1.0,Soil,,,-36.0,1.0,-129.1,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Pena Blanca,14.94,-88.03,655.0,-160.0,1.0,Soil,,,-33.0,1.0,-131.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,La Entrada,15.1,-88.71,426.0,-147.9,2.0,Soil,,,-31.0,2.0,-120.6,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,La Barca,15.12,-87.94,56.0,-155.3,1.0,Soil,,,-24.0,4.0,-134.5,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Izabal Rio Oscuro,15.38,-89.33,4.0,-154.0,1.0,Soil,,,-25.0,4.0,-132.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Naco,15.41,-88.14,97.0,-148.3,1.0,Soil,,,-25.0,4.0,-126.5,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Izabal Centro,15.52,-89.15,4.0,-165.2,,Soil,,,-24.0,4.0,-144.7,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,El Golfete,15.72,-88.89,0.0,-151.1,1.0,Soil,,,-24.0,4.0,-130.2,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Puente Cienega,15.74,-89.07,75.0,-155.0,2.0,Soil,,,-25.0,4.0,-133.3,,,,,,,User compilation,OK
Douglas et al 2012,McFarlin,Peten Itza,16.93,-89.89,109.0,-159.5,4.0,Soil,,,-25.0,7.0,-137.9,,,,,,,User compilation,OK
