Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"I-Grassland, Africa",7.4452,36.8768,2650.0,-129.0,,Sediment/soil,Mixed vegetation,Mixed,-7.0,,-122.9,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"II-Grassland, Africa",7.4527,36.8704,2545.0,-135.0,,Sediment/soil,Mixed vegetation,Mixed,-5.0,,-130.7,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"II-Forest, Africa",7.4527,36.8704,2545.0,-140.0,,Sediment/soil,Mixed vegetation,Mixed,-5.0,,-135.7,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"III-Forest, Africa",7.4609,36.8687,2402.0,-132.0,,Sediment/soil,Mixed vegetation,Mixed,-3.0,,-129.4,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Grassland, Africa",7.5176,36.8758,2109.0,-125.0,,Sediment/soil,Mixed vegetation,Mixed,2.0,,-126.7,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Cropland, Africa",7.5176,36.8758,2109.0,-128.0,,Sediment/soil,Mixed vegetation,Mixed,2.0,,-129.7,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Forest, Africa",7.5176,36.8758,2109.0,-134.0,,Sediment/soil,Mixed vegetation,Mixed,2.0,,-135.7,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"VI-Grassland, Africa",7.593,36.8544,1769.0,-133.0,,Sediment/soil,Mixed vegetation,Mixed,7.0,,-139.0,,,Africa,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3767.0,-237.0,,Sediment/soil,Mixed vegetation,Mixed,-98.0,,-154.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 13,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3518.0,-224.0,,Sediment/soil,Mixed vegetation,Mixed,-94.0,,-143.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 12,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3676.0,-241.0,,Sediment/soil,Mixed vegetation,Mixed,-96.0,,-160.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 12,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.57,101.98,3209.0,-200.0,,Sediment/soil,Mixed vegetation,Mixed,-89.0,,-121.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,101.99,3188.0,-220.0,,Sediment/soil,Mixed vegetation,Mixed,-89.0,,-143.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,102.01,2808.0,-193.0,,Sediment/soil,Mixed vegetation,Mixed,-83.0,,-120.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,101.99,3119.0,-207.0,,Sediment/soil,Mixed vegetation,Mixed,-88.0,,-130.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,102.01,2920.0,-197.0,,Sediment/soil,Mixed vegetation,Mixed,-84.0,,-123.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 9,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.05,2220.0,-203.0,,Sediment/soil,Mixed vegetation,Mixed,-74.0,,-139.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.06,2160.0,-214.0,,Sediment/soil,Mixed vegetation,Mixed,-73.0,,-152.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2115.0,-185.0,,Sediment/soil,Mixed vegetation,Mixed,-72.0,,-121.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2005.0,-199.0,,Sediment/soil,Mixed vegetation,Mixed,-70.0,,-138.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2085.0,-206.0,,Sediment/soil,Mixed vegetation,Mixed,-72.0,,-144.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.04,2350.0,-189.0,,Sediment/soil,Mixed vegetation,Mixed,-76.0,,-122.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.11,1645.0,-181.0,,Sediment/soil,Mixed vegetation,Mixed,-65.0,,-124.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.17,1220.0,-195.0,,Sediment/soil,Mixed vegetation,Mixed,-58.0,,-145.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.09,1850.0,-195.0,,Sediment/soil,Mixed vegetation,Mixed,-68.0,,-136.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.62,102.11,1740.0,-178.0,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-119.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 5,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.63,102.14,1375.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-61.0,,-115.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.64,102.13,1470.0,-184.0,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-130.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.65,102.11,1610.0,-192.0,,Sediment/soil,Mixed vegetation,Mixed,-64.0,,-136.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,OK
"Ladd 2021 compilation (Krull et al., 2006)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Queensland, Australia",-23.22,143.95,191.0,-88.0,,Sediment/soil,Mixed vegetation,Mixed,-20.0,,-69.4,,,Australia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 13,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,NOTE: ε outside typical range (-69‰)
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lake Dranoniveilomo, Vanua Balavu, Fiji, Tropical Pacific",-17.1976,-178.9559,,-150.8,,Sediment/soil,Mixed vegetation,Mixed,-21.0,,-132.6,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 11,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,Missing: elevation
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Oroatera Pond, Tetiaroa, French Polynesia, Tropical Pacific",-16.9958,-149.5409,,-173.5,,Sediment/soil,Mixed vegetation,Mixed,-25.0,,-152.3,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 26,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Computer v6,Missing: elevation
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lake Tagamaucia, Teveuni, Fiji, Tropical Pacific",-16.8163,-179.9399,,-170.1,,Sediment/soil,Mixed vegetation,Mixed,-34.0,,-140.9,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 14,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,Missing: elevation
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"ChuTol, Tropical Pacific",7.35,151.604,0.0,-153.0,,Sediment/soil,Mixed vegetation,Mixed,-32.0,,-125.0,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 0,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"YapGal, Tropical Pacific",9.49,138.088,0.0,-151.0,,Sediment/soil,Mixed vegetation,Mixed,-34.0,,-121.1,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 0,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"GuSasa, Tropical Pacific",13.44,144.683,0.0,-145.0,,Sediment/soil,Mixed vegetation,Mixed,-29.0,,-119.5,,,Tropical Pacific,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Leider et al., 2013)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lago Alimini Grande, Europe",40.2,18.45,719.0,-159.0,,Sediment/soil,Mixed vegetation,Mixed,-47.0,2.0,-117.5,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Leider et al., 2013)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lago di Monticchio, Europe",40.93,15.6,808.0,-170.0,,Sediment/soil,Mixed vegetation,Mixed,-50.0,1.0,-126.3,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Leider et al., 2013)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lago Bomba, Europe",42.01,14.36,731.0,-156.0,,Sediment/soil,Mixed vegetation,Mixed,-45.0,1.0,-116.2,,,Europe,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S1, Asia",22.57,114.23,197.0,-173.5,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-136.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S2, Asia",23.27,114.03,600.0,-179.3,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-136.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S3, Asia",23.3,113.46,451.0,-169.9,,Sediment/soil,Mixed vegetation,Mixed,-47.0,,-129.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S4, Asia",23.63,113.87,531.0,-171.0,,Sediment/soil,Mixed vegetation,Mixed,-48.0,,-129.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S5, Asia",24.28,113.55,164.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-43.0,,-131.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S6, Asia",24.6,113.65,137.0,-170.3,,Sediment/soil,Mixed vegetation,Mixed,-42.0,,-133.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S7, Asia",25.1,113.52,302.0,-170.6,,Sediment/soil,Mixed vegetation,Mixed,-44.0,,-132.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S8, Asia",25.29,112.99,186.0,-170.3,,Sediment/soil,Mixed vegetation,Mixed,-41.0,,-134.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S9, Asia",25.64,113.04,280.0,-170.6,,Sediment/soil,Mixed vegetation,Mixed,-41.0,,-135.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S10, Asia",26.81,112.58,80.0,-169.0,,Sediment/soil,Mixed vegetation,Mixed,-33.0,,-140.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S11, Asia",27.11,112.1,165.0,-164.7,,Sediment/soil,Mixed vegetation,Mixed,-35.0,,-134.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE02, Asia",27.83,117.73,1337.0,-205.6,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-152.2,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 8,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE04, Asia",27.84,117.76,1765.0,-211.9,,Sediment/soil,Mixed vegetation,Mixed,-69.0,,-153.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 10,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE01, Asia",27.88,117.74,749.0,-192.0,,Sediment/soil,Mixed vegetation,Mixed,-54.0,,-145.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 6,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S12, Asia",31.05,110.92,1760.0,-196.3,,Sediment/soil,Mixed vegetation,Mixed,-71.0,,-134.9,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 7,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S13, Asia",31.3,110.38,900.0,-174.0,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-124.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S14, Asia",31.33,110.42,1400.0,-178.1,,Sediment/soil,Mixed vegetation,Mixed,-65.0,,-121.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S15, Asia",31.47,110.38,1339.0,-180.1,,Sediment/soil,Mixed vegetation,Mixed,-64.0,,-124.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 4,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"X'A, Asia",34.3,108.61,588.0,-172.9,,Sediment/soil,Mixed vegetation,Mixed,-56.0,,-123.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"XY, Asia",34.94,113.38,222.0,-169.1,,Sediment/soil,Mixed vegetation,Mixed,-50.0,,-125.4,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JYX, Asia",35.05,112.46,367.0,-170.4,,Sediment/soil,Mixed vegetation,Mixed,-53.0,,-124.0,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TC, Asia",35.21,109.0,1222.0,-176.7,,Sediment/soil,Mixed vegetation,Mixed,-67.0,,-117.6,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"XF, Asia",35.84,111.44,455.0,-175.3,,Sediment/soil,Mixed vegetation,Mixed,-55.0,,-127.3,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 1,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N02, Asia",35.89485,108.97625,622.0,-170.8,,Sediment/soil,Mixed vegetation,Mixed,-57.0,,-120.7,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"FX, Asia",35.96,109.73,1270.0,-161.3,,Sediment/soil,Mixed vegetation,Mixed,-68.0,,-100.1,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HLS, Asia",36.0,110.15,897.0,-195.7,,Sediment/soil,Mixed vegetation,Mixed,-62.0,,-142.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"GLS, Asia",36.02,103.84,1999.0,-149.0,,Sediment/soil,Mixed vegetation,Mixed,-40.0,,-113.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 3,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"QY, Asia",36.08,107.82,1285.0,-178.8,,Sediment/soil,Mixed vegetation,Mixed,-66.0,,-120.8,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZWL, Asia",36.09,107.6,1148.0,-160.0,,Sediment/soil,Mixed vegetation,Mixed,-63.0,,-103.5,,,Asia,From Ladd et al. 2021 global compilation; compound: n-C29 alkane; CI95: 2,10.1029/2020JG005891,ETH Zurich: doi:10.3929/ethz-b-000412154,Both,OK
