row_index,cluster_id,action,source,location,latitude,longitude,d2H_wax,d2H_wax_err,data_source
508,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-257.0,,original
509,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-262.0,,original
510,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-266.0,,original
511,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-263.0,,original
512,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-265.0,,original
513,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-268.0,,original
514,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-270.0,,original
515,42,REMOVE,"Pautler et al., 2014","Tatlow Camp, Quartz Creek",63.82,-139.02,-268.0,,original
517,43,KEEP,"Pautler et al., 2014",Goldbottom Creek,63.93,-138.97,-274.0,,original
518,43,REMOVE,"Pautler et al., 2014",Goldbottom Creek,63.93,-138.97,-273.0,,original
520,44,KEEP,"Pautler et al., 2014",Kluane Lake,61.15,-138.45,-259.0,,original
522,44,REMOVE,"Pautler et al., 2014",Kluane Lake,61.15,-138.45,-260.0,,original
524,45,KEEP,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-135.0,,original
527,45,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-140.0,,original
528,45,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-136.0,,original
531,45,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-139.0,,original
534,45,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-138.0,,original
525,46,KEEP,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-156.0,,original
526,46,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-152.0,,original
530,46,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-147.0,,original
533,46,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-149.0,,original
536,46,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-154.0,,original
538,46,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-151.0,,original
529,47,KEEP,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-144.0,,original
532,47,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-144.0,,original
535,47,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-144.0,,original
537,47,REMOVE,"Peterse et al., 2009",Mt. Kilimanjaro,-3.0,37.0,-143.0,,original
557,48,KEEP,Polissar and Freeman 2010,Laguna Misteque,8.72,-70.88,-195.8,,original
