"obs_id","include_in_calibration","exclusion_reason","archive_class","archive_assignment","review_flag"
"obs_0300",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0301",TRUE,"","soil","source review",""
"obs_0302",TRUE,"","soil","source review",""
"obs_0303",TRUE,"","soil","source review",""
"obs_0304",TRUE,"","soil","source review",""
"obs_0305",TRUE,"","soil","source review",""
"obs_0306",TRUE,"","soil","source review",""
"obs_0307",TRUE,"","soil","source review",""
"obs_0308",TRUE,"","soil","source review",""
"obs_0309",TRUE,"","soil","source review",""
"obs_0310",TRUE,"","soil","source review",""
"obs_0311",TRUE,"","soil","source review",""
"obs_0312",TRUE,"","soil","source review",""
"obs_0313",TRUE,"","soil","source review",""
"obs_0314",TRUE,"","soil","source review",""
"obs_0315",TRUE,"","soil","source review",""
"obs_0316",TRUE,"","soil","source review",""
"obs_0317",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0318",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0319",TRUE,"","soil","source review",""
"obs_0320",TRUE,"","soil","source review",""
"obs_0321",TRUE,"","soil","source review",""
"obs_0322",TRUE,"","soil","source review",""
"obs_0323",TRUE,"","soil","source review",""
"obs_0324",TRUE,"","soil","source review",""
"obs_0325",TRUE,"","soil","source review",""
"obs_0326",TRUE,"","soil","source review",""
"obs_0327",TRUE,"","soil","source review",""
"obs_0328",TRUE,"","soil","source review",""
"obs_0329",TRUE,"","soil","source review",""
"obs_0330",TRUE,"","soil","source review",""
"obs_0331",TRUE,"","soil","source review",""
"obs_0332",TRUE,"","soil","source review",""
"obs_0333",TRUE,"","soil","source review",""
"obs_0334",TRUE,"","soil","source review",""
"obs_0335",TRUE,"","soil","source review",""
"obs_0336",TRUE,"","soil","source review",""
"obs_0337",TRUE,"","soil","source review",""
"obs_0338",TRUE,"","soil","source review",""
"obs_0339",TRUE,"","soil","source review",""
"obs_0340",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0341",TRUE,"","soil","source review",""
"obs_0342",TRUE,"","soil","source review",""
"obs_0343",TRUE,"","soil","source review",""
"obs_0344",TRUE,"","soil","source review",""
"obs_0345",TRUE,"","soil","source review",""
"obs_0346",TRUE,"","soil","source review",""
"obs_0347",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0348",TRUE,"","soil","source review",""
"obs_0349",TRUE,"","soil","source review",""
"obs_0350",TRUE,"","soil","source review",""
"obs_0351",TRUE,"","soil","source review","soil versus fluvial classification remains uncertain"
"obs_0352",TRUE,"","soil","source review",""
"obs_0353",TRUE,"","soil","source review",""
"obs_0354",TRUE,"","soil","source review",""
"obs_0355",TRUE,"","soil","source review",""
"obs_0356",TRUE,"","soil","source review",""
"obs_0357",TRUE,"","soil","source review",""
"obs_0358",TRUE,"","soil","source review",""
"obs_0359",TRUE,"","soil","source review",""
"obs_0360",TRUE,"","soil","source review",""
"obs_0361",TRUE,"","soil","source review",""
"obs_0362",TRUE,"","soil","source review",""
"obs_0363",TRUE,"","soil","source review",""
"obs_0364",TRUE,"","soil","source review",""
"obs_0365",TRUE,"","soil","source review",""
"obs_0366",TRUE,"","soil","source review",""
"obs_0367",TRUE,"","soil","source review",""
"obs_0368",TRUE,"","soil","source review",""
"obs_0369",TRUE,"","soil","source review",""
"obs_0370",TRUE,"","soil","source review",""
