source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
"Gaviria-Lugo et al., 2023",,Rio Llico,-41.2269,-73.753,,-54.8,1.6,,29,-171.2,5.0,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Bueno,-40.3326,-73.4128,,-57.8,0.8,,29,-163.8,3.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Bueno,-40.29,-73.5354,,-61.1,1.0,,29,-165.1,0.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7214-1_1-2 cm,-39.875,-74.1672,,,,,29,-155.9,1.6,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio CalleCalle,-39.7902,-73.1749,,-63.5,1.0,,29,-170.0,2.3,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,CalleCalle,-39.7885,-72.9681,,-55.0,0.4,,29,-160.8,1.9,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7212-1_1-2 cm,-39.7,-74.38,,,,,29,-153.8,2.9,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Cruces,-39.5493,-72.8419,,-57.3,0.5,,29,-160.4,6.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Tolten,-39.0747,-73.1397,,-61.8,1.2,,29,-179.1,0.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7207-1_1-2 cm,-39.07,-74.37,,,,,29,-166.3,4.1,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7209-2_1-2 cm,-38.9913,-74.1642,,,,,29,-161.5,5.9,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Imperial,-38.7287,-73.1267,,-54.5,0.9,,29,-163.4,1.4,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7198-1_1-2 cm,-38.17,-74.39,,,,,29,-150.6,2.6,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Estero Los Gringos,-37.8035,-72.9371,,-57.4,2.3,,29,-173.6,0.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,BioBio B,-37.3473,-72.885,,-38.7,1.4,,29,-164.2,2.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio BioBio,-37.1131,-72.9647,,-54.9,1.7,,29,-158.1,1.8,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,BioBio A,-37.1126,-72.9619,,-34.3,1.4,,29,-178.7,1.3,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7162-4_1-2 cm,-36.5427,-73.6672,,,,,29,-164.8,0.3,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7167-4_1-2 cm,-36.45,-73.91,,,,,29,-149.8,2.7,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Itata,-36.3999,-72.7762,,-47.3,1.2,,29,-175.4,0.2,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7160-4_1-2 cm,-36.0385,-73.0735,,,,,29,-168.0,2.2,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Chovellen,-35.9254,-72.623,,-42.7,0.9,,29,-158.0,3.0,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7157-1_1-2 cm,-35.78,-73.59,,,,,29,-164.2,3.3,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Maule,-35.3882,-72.2978,,-51.5,1.8,,29,-155.2,0.7,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB3355-4_1-2 cm,-35.2183,-73.1167,,,,,29,-162.8,1.1,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB3352-2_1-2 cm,-35.2167,-73.3167,,,,,29,-166.3,0.5,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rapel,-34.5693,-71.6361,,-44.0,0.8,,29,-170.0,0.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7152-1_1-2 cm,-33.8,-72.1102,,,,,29,-167.8,0.4,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Maipo,-33.7738,-71.5272,,-63.3,2.8,,29,-167.2,6.8,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,SanAntonio-Maipo,-33.7736,-71.5246,,-44.1,0.6,,29,-182.7,1.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB3311-2_1-2 cm,-33.6067,-72.0467,,,,,29,-157.3,4.2,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Cajon del Maipo,-33.5814,-70.3586,,-69.7,2.6,,29,-164.7,0.6,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB3303-1_1-2 cm,-33.2067,-72.2,,,,,29,-158.0,5.0,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Aconcagua,-32.9196,-71.3959,,-65.4,3.2,,29,-168.6,4.5,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Quebrada La Campana,-32.9082,-71.0994,,-53.4,1.3,,29,-170.0,1.7,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB3304-3_1-2 cm,-32.89,-72.1933,,,,,29,-153.8,2.9,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Choapa,-31.5922,-71.5382,,-59.7,2.9,,29,-158.7,2.3,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7144-1_1-2 cm,-31.16,-71.97,,,,,29,-151.9,0.2,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Rio Limari,-30.6585,-71.5072,,-59.7,3.4,,29,-165.4,2.8,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7138-1_1-2 cm,-30.13,-71.87,,,,,29,-154.6,5.2,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Talca B,-30.0548,-71.0894,,-42.6,0.9,,29,-153.5,2.4,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Talca A,-30.0545,-71.094,,-42.6,0.9,,29,-160.9,0.1,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Elqui,-29.9459,-71.1293,,-70.2,5.2,,29,-154.7,8.0,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7134-1_1-2 cm,-29.72,-71.77,,,,,29,-153.2,3.6,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7135-1_1-2 cm,-29.6667,-71.6758,,,,,29,-155.6,1.3,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Choros,-29.3332,-71.2311,,-40.2,1.0,,29,-103.0,1.7,User compilation,,NOTE: ε outside typical range (-65‰); Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Quebrada Los Choros,-29.3302,-71.2364,,-54.7,2.8,,29,-151.6,6.5,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,Rio Huasco,-28.4873,-71.1486,,-69.5,5.2,,29,-158.2,7.0,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB7130-1_1-2 cm,-28.42,-71.613,,,,,29,-152.1,5.5,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7129-1_1-2 cm,-28.4168,-71.33,,,,,29,-155.8,10.8,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB7127-1_1-2 cm,-28.3837,-71.4712,,,,,29,-151.6,1.4,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,Quebrada Totoral,-27.8321,-71.0816,,-48.9,3.3,,29,-151.5,2.0,User compilation,,Missing: elevation,Soil
"Gaviria-Lugo et al., 2023",,GeoB3374-1_1-2 cm,-27.4733,-71.1717,,,,,29,-144.9,9.0,User compilation,,"Missing: elevation, d2H_precip",Soil
"Gaviria-Lugo et al., 2023",,GeoB3377-1_1-2 cm,-27.4667,-71.525,,,,,29,-146.2,13.4,User compilation,,"Missing: elevation, d2H_precip",Soil
