source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.58,25.3,,-29.47598253,,,29,-111.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.57,19.23,,-25.19167579,,,29,-110.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.57,27.5,,-31.79824561,,,29,-117.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.56,24.13,,-24.28256071,,,29,-116.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.5,26.36,,-29.96670366,,,29,-126.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.5,26.36,,-30.20134228,,,29,-133.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.45,24.42,,-26.2295082,,,29,-109.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.45,24.42,,-25.44247788,,,29,-119.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.44,22.31,,-29.50819672,,,29,-112.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-28.38,22.15,,-29.22077922,,,29,-103.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-27.55,28.23,,-29.14798206,,,29,-134.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-27.55,28.23,,-29.61275626,,,29,-148.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-27.55,28.23,,-28.60411899,,,29,-151.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-27.25,28.3,,-26.31578947,,,29,-149.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Herrmann et al., 2017)",ETH Zurich: doi:10.3929/ethz-b-000412154,"South Africa, Africa",-27.05,28.35,,-24.60850112,,,29,-128.0,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Tiandouyang, Asia",25.9,117.47,1196.0,-59.0,,,29,-192.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Shiwangutian, Asia",26.08,110.37,1688.0,-62.0,,,29,-208.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Wangdongyang, Asia",27.67,119.63,1398.0,-63.0,,,29,-203.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Dajiuhu, Asia",31.47,110.0,1700.0,-64.0,,,29,-204.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Zoige, Asia",33.82,102.73,3500.0,-71.0,,,29,-204.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Hani, Asia",42.22,126.52,902.0,-66.0,,,29,-222.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Huang et al., 2016)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Yichun, Asia",48.52,129.53,272.0,-91.0,,,29,-209.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"II-Forest, Africa",7.4527,36.8704,2545.0,-5.0,,,29,-140.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Grassland, Africa",7.5176,36.8758,2109.0,2.0,,,29,-125.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Cropland, Africa",7.5176,36.8758,2109.0,2.0,,,29,-128.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jaeschke et al., 2018)",ETH Zurich: doi:10.3929/ethz-b-000412154,"V-Forest, Africa",7.5176,36.8758,2109.0,2.0,,,29,-134.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3767.0,-98.0,,,29,-237.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3518.0,-94.0,,,29,-224.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.55,101.97,3676.0,-96.0,,,29,-241.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.57,101.98,3209.0,-89.0,,,29,-200.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,101.99,3188.0,-89.0,,,29,-220.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,102.01,2808.0,-83.0,,,29,-193.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,101.99,3119.0,-88.0,,,29,-207.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.58,102.01,2920.0,-84.0,,,29,-197.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.05,2220.0,-74.0,,,29,-203.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.06,2160.0,-73.0,,,29,-214.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2115.0,-72.0,,,29,-185.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2005.0,-70.0,,,29,-199.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.07,2085.0,-72.0,,,29,-206.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.6,102.04,2350.0,-76.0,,,29,-189.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.11,1645.0,-65.0,,,29,-181.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.17,1220.0,-58.0,,,29,-195.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.61,102.09,1850.0,-68.0,,,29,-195.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.62,102.11,1740.0,-66.0,,,29,-178.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.63,102.14,1375.0,-61.0,,,29,-169.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.64,102.13,1470.0,-62.0,,,29,-184.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Jia et al., 2008)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Mt Gonnga, Asia",29.65,102.11,1610.0,-64.0,,,29,-192.0,,Computer v6,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Krull et al., 2006)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Queensland, Australia",-23.22,143.95,191.0,-20.0,,,29,-88.0,,Both,10.1029/2020JG005891,NOTE: ε outside typical range (-69‰),Sediment/soil
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lake Dranoniveilomo, Vanua Balavu, Fiji, Tropical Pacific",-17.1976,-178.9559,,-21.0,,,29,-150.8,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Oroatera Pond, Tetiaroa, French Polynesia, Tropical Pacific",-16.9958,-149.5409,,-25.0,,,29,-173.5,,Computer v6,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Ladd et al., SPCZ in prep)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lake Tagamaucia, Teveuni, Fiji, Tropical Pacific",-16.8163,-179.9399,,-34.0,,,29,-170.1,,Both,10.1029/2020JG005891,Missing: elevation,Sediment/soil
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"ChuTol, Tropical Pacific",7.35,151.604,0.0,-32.0,,,29,-153.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"YapGal, Tropical Pacific",9.49,138.088,0.0,-34.0,,,29,-151.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Ladd, Maloney et al (UW))",ETH Zurich: doi:10.3929/ethz-b-000412154,"GuSasa, Tropical Pacific",13.44,144.683,0.0,-29.0,,,29,-145.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Leider et al., 2013)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lago Alimini Grande, Europe",40.2,18.45,719.0,-47.0,2.0,,29,-159.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Leider et al., 2013)",ETH Zurich: doi:10.3929/ethz-b-000412154,"Lago Bomba, Europe",42.01,14.36,731.0,-45.0,1.0,,29,-156.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S1, Asia",22.57,114.23,197.0,-43.0,,,29,-173.5,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S2, Asia",23.27,114.03,600.0,-50.0,,,29,-179.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S3, Asia",23.3,113.46,451.0,-47.0,,,29,-169.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S4, Asia",23.63,113.87,531.0,-48.0,,,29,-171.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S5, Asia",24.28,113.55,164.0,-43.0,,,29,-169.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S6, Asia",24.6,113.65,137.0,-42.0,,,29,-170.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S7, Asia",25.1,113.52,302.0,-44.0,,,29,-170.6,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S8, Asia",25.29,112.99,186.0,-41.0,,,29,-170.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S9, Asia",25.64,113.04,280.0,-41.0,,,29,-170.6,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S10, Asia",26.81,112.58,80.0,-33.0,,,29,-169.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S11, Asia",27.11,112.1,165.0,-35.0,,,29,-164.7,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE02, Asia",27.83,117.73,1337.0,-63.0,,,29,-205.6,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE04, Asia",27.84,117.76,1765.0,-69.0,,,29,-211.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SE01, Asia",27.88,117.74,749.0,-54.0,,,29,-192.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S12, Asia",31.05,110.92,1760.0,-71.0,,,29,-196.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S13, Asia",31.3,110.38,900.0,-57.0,,,29,-174.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S14, Asia",31.33,110.42,1400.0,-65.0,,,29,-178.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"S15, Asia",31.47,110.38,1339.0,-64.0,,,29,-180.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"X'A, Asia",34.3,108.61,588.0,-56.0,,,29,-172.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"XY, Asia",34.94,113.38,222.0,-50.0,,,29,-169.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JYX, Asia",35.05,112.46,367.0,-53.0,,,29,-170.4,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"TC, Asia",35.21,109.0,1222.0,-67.0,,,29,-176.7,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"XF, Asia",35.84,111.44,455.0,-55.0,,,29,-175.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N02, Asia",35.89485,108.97625,622.0,-57.0,,,29,-170.8,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"FX, Asia",35.96,109.73,1270.0,-68.0,,,29,-161.3,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HLS, Asia",36.0,110.15,897.0,-62.0,,,29,-195.7,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"GLS, Asia",36.02,103.84,1999.0,-40.0,,,29,-149.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"QY, Asia",36.08,107.82,1285.0,-66.0,,,29,-178.8,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZWL, Asia",36.09,107.6,1148.0,-63.0,,,29,-160.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"CZ, Asia",36.2,113.28,1028.0,-65.0,,,29,-170.6,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"YA, Asia",36.37,109.56,1245.0,-67.0,,,29,-166.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JY, Asia",36.46,104.6,1720.0,-42.0,,,29,-160.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N03, Asia",36.57676667,109.4143667,1077.0,-63.0,,,29,-173.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JT, Asia",36.95,104.83,1743.0,-47.0,,,29,-170.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N04, Asia",37.29825,108.9454667,1427.0,-63.0,,,29,-167.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW3, Asia",37.36,104.1,1635.0,-43.0,,,29,-152.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW2, Asia",37.52,103.64,1850.0,-60.0,,,29,-153.8,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZW1, Asia",37.64,103.14,1745.0,-43.0,,,29,-155.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N05, Asia",38.37526667,109.69765,1117.0,-58.0,,,29,-162.4,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSM1, Asia",38.97,105.66,1464.0,-51.0,,,29,-148.8,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSYQ1, Asia",39.01,101.2,1789.0,-44.0,,,29,-147.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ZY2, Asia",39.09,100.07,1604.0,-41.0,,,29,-140.9,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSYQ7, Asia",39.21,102.62,1443.0,-41.0,,,29,-129.5,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JQ8, Asia",39.27,99.34,1683.0,-41.0,,,29,-128.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N07, Asia",39.27311667,106.7305333,1160.0,-48.0,,,29,-149.4,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"N06, Asia",39.37438333,108.2947333,1390.0,-54.0,,,29,-163.4,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALSM2, Asia",39.4,105.69,1174.0,-48.0,,,29,-152.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JQ1, Asia",39.81,97.99,1749.0,-38.0,,,29,-147.2,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"ALS, Asia",40.3,107.6,1142.0,-52.0,,,29,-160.1,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SEQ, Asia",40.59,110.44,1068.0,-53.0,,,29,-163.2,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"DK, Asia",40.8,107.5,1078.0,-53.0,,,29,-148.5,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Li et al., 2019)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LC, Asia",40.92,112.9,1549.0,-71.0,,,29,-172.2,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"CB-01, Asia",42.05,127.684,882.0,-66.0,,,29,-195.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"BYQ-05, Asia",42.3,118.304,696.0,-71.0,,,29,-191.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"JY-01, Asia",42.373,126.859,601.0,-62.0,,,29,-190.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HN-01, Asia",42.627,126.253,340.0,-58.0,,,29,-192.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"HN-03, Asia",42.636,126.253,344.0,-59.0,,,29,-184.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LY-02, Asia",42.967,124.886,255.0,-58.0,,,29,-192.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"LY-05, Asia",43.092,124.728,301.0,-59.0,,,29,-190.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SP-01, Asia",43.208,124.136,135.0,-57.0,,,29,-179.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"SP-02, Asia",43.209,124.136,136.0,-57.0,,,29,-173.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KQ-01, Asia",43.241,117.377,1136.0,-80.0,,,29,-177.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
"Ladd 2021 compilation (Lu et al., 2020)",ETH Zurich: doi:10.3929/ethz-b-000412154,"KQ-05, Asia",43.241,117.377,1137.0,-80.0,,,29,-186.0,,Both,10.1029/2020JG005891,OK,Sediment/soil
